pid,name,yob,team,iscurrent
9428,Shreyas Iyer,1998,Mumbai,1
9429,Sarfaraz Khan,1998,Uttar Pradesh,1
9430,Abhimanyu Lamba,1998,Rajasthan,1
9431,Mohammad Saif,1998,Uttar Pradesh,1
9507,Pankaj Jaiswal,1998,Himachal Pradesh,1
9509,A Sheth,1998,Baroda,1
9574,J Zope,1998,Maharashtra,1
9619,Vinoop Manoharan,1998,Kerala,1
9620,Cheepurapalli Stephen,1998,Andhra,1
9622,Aswin Crist,1998,Tamil Nadu,1
9624,Baba Indrajith,1998,Tamil Nadu,1
9629,Abhijit Chakraborty,1998,Tripura,1
9633,Rahul Kanojia,1998,Services,1
9635,V Tiwari,1998,Services,1
9639,Avi Barot,1998,Saurashtra,1
9644,Abhijit Roy,1998,Assam,1
9646,Abhishek Bhat,1998,Jammu and Kashmir,1
9647,Hardik Pandya,1998,Baroda,1
9648,B Pathan,1998,Baroda,1
9666,Chetan Bist,1998,Rajasthan,1
9668,Amit Mishra,1998,Uttar Pradesh,1
9669,Akshay Chauhan,1998,Himachal Pradesh,1
9674,Shasheem Sanjay Rathour,1998,Jharkhand,1
9683,Bharatkumar Solanki,1998,Maharashtra,1
9688,Ravikumar Samarth,1998,Karnataka,1
9690,Rahul Yadav,1998,Delhi,1
9693,Rahul Tewatia,1998,Haryana,1
9700,Rongsen Jonathan,1998,Railways,1
9715,Navdeep Saini,1998,Delhi,1
9716,Abhimanyu Easwaran,1998,Bengal,1
9717,Writtick Chatterjee,1998,Bengal,1
9743,Jayanta Behera,1998,Odisha,1
9744,Gitansh Khera,1998,Punjab,1
9746,Shreyas Gopal,1998,Karnataka,1
9749,Puneet Datey,1998,Madhya Pradesh,1
9751,Umar Nazir Mir,1998,Jammu and Kashmir,1
9781,Avesh Khan,1998,Madhya Pradesh,1
9782,Karan Kaila,1998,Punjab,1
9783,Monu Kumar,1998,Jharkhand,1
9955,Sayan Mondal,1998,Bengal,1
9987,Parvez Aziz,1998,Assam,1
10213,Virat Singh,1998,Jharkhand,1
10214,Jitesh Sharma,1998,Vidarbha,1
10218,Anurag Sarangi,1998,Odisha,1
10219,Avdhoot Dandekar,1998,Maharashtra,1
10220,Swapnil Gugale,1998,Maharashtra,1
10222,Divyaraj Chauhan,1998,Saurashtra,1
10223,Himmat Singh,1998,Delhi,1
10225,T Natarajan,1998,Tamil Nadu,1
10226,Shahrukh Khan,1998,Tamil Nadu,1
10228,Amit Mishra,1998,Railways,1
10229,Ankit Dane,1998,Madhya Pradesh,1
10235,Mehjoor Ali,1998,Jammu and Kashmir,1
10236,Paras Sharma,1998,Jammu and Kashmir,1
10238,Swapnil Singh,1998,Baroda,1
10242,Ashish Kumar,1998,Jharkhand,1
10247,Sanjay Ramaswamy,1998,Vidarbha,1
10249,Krishna Das,1998,Assam,1
10250,Swarupam Purkayastha,1998,Assam,1
10251,Rajesh Banik,1998,Tripura,1
10252,Abhijit Sarkar,1998,Tripura,1
10253,Bishal Ghosh,1998,Tripura,1
10254,Ashwin Hebbar,1998,Andhra,1
10256,Balchander Anirudh,1998,Hyderabad,1
10258,Tanmay Agarwal,1998,Hyderabad,1
10260,Saurabh Kumar,1998,Uttar Pradesh,1
10261,Devender Lohchab,1998,Services,1
10262,Deepak Punia,1998,Saurashtra,1
10264,Ankit Kalsi,1998,Himachal Pradesh,1
10267,Basil Thampi,1998,Kerala,1
10270,Abhishek Mohan,1998,Kerala,1
10275,Mohd Israr,1998,Uttar Pradesh,1
10276,Ishan Kishan,1998,Jharkhand,1
10277,Kaushal Singh,1998,Jharkhand,1
10285,Saransh Jain,1998,Madhya Pradesh,1
10290,Ankush Bedi,1998,Himachal Pradesh,1
10293,Prathamesh Gawas,1998,Goa,1
10294,Deepraj Gaonkar,1998,Goa,1
10297,H Rana,1998,Haryana,1
10298,Nakul Sharma,1998,Services,1
10301,Shubham Pundir,1998,Jammu and Kashmir,1
10305,Sumit Kumar,1998,Jharkhand,1
10310,Hardik Rajeev Sethi,1998,Services,1
10311,A G Pandrekar,1998,Goa,1
10313,Ajay Rana,1998,Himachal Pradesh,1
10315,MD Nidheesh,1998,Kerala,1
10317,Chiranjit Paul,1998,Tripura,1
10319,Hardik Patel,1998,Gujarat,1
10320,Akshay Chandran,1998,Kerala,1
10322,Rohilla,1998,Haryana,1
10323,Saurabh Das,1998,Tripura,1
10324,Mihir Hirwani,1998,Madhya Pradesh,1
10327,Asif Khan,1998,Jammu and Kashmir,1
10329,Snehal Kauthankar,1998,Goa,1
10330,Snell Patel,1998,Saurashtra,1
10332,Nizar,1998,Kerala,1
10334,Ankit Kushwah,1998,Madhya Pradesh,1
10335,Shivam Chaudhary,1998,Uttar Pradesh,1
10336,Himalay Agarwal,1998,Hyderabad,1
10354,Pratyush Singh,1998,Jharkhand,1
10356,Aditya Garhwal,1998,Rajasthan,1
10357,Jagadeesha Suchith,1998,Karnataka,1
10360,Abhishek Reddy,1998,Karnataka,1
10363,Antony Dhas,1998,Tamil Nadu,1
10364,Pavan Deshpande,1998,Karnataka,1
10365,Kranthi Kumar,1998,AP,1
10366,Naveen MG,1998,Karnataka,1
10367,David Mathias,1998,Karnataka,1
10368,Azaruddin Bloch,1998,Services,1
10369,Lakhan Singh,1998,Services,1
10371,Gaurav Kochar,1998,Services,1
10372,Kshitiz Sharma,1998,Delhi,1
10373,Pranshu Vijayran,1998,Delhi,1
10379,Aditya Kaushik,1998,Goa,1
10381,Sagar Trivedi,1998,Mumbai,1
10478,Rohan Kadam,1998,Karnataka,1
10484,Praveen Dubey,1998,Karnataka,1
10489,V Koushik,1998,Karnataka,1
10494,Prateek Jain,1998,Karnataka,1
10504,Sadiq Kirmani,1998,Karnataka,1
10509,Mir Kaunain Abbas,1998,Karnataka,1
10520,Sharath BR,1998,Karnataka,1
10523,Dikshanshu Negi,1998,UTTARAKHAND,1
10531,Shashi Shekar,1998,BIHAR,1
10541,Pradeep T,1998,Karnataka,1
10551,Prasidh,1998,Karnataka,1
10554,Sinan Abdul Khader,1998,MIZORAM,1
10562,Siddharth,1998,Karnataka,1
10628,Nirupam Sen,1998,Tripura,1
10629,Aditya Shanware,1998,Vidarbha,1
10630,Aditya Sarwate,1998,Vidarbha,1
10632,Rajesh Dhupar,1998,Odisha,1
10633,Roshan Kumar Rao,1998,Odisha,1
10636,Rajat Patidar,1998,Madhya Pradesh,1
